1,식중독,자꾸 구토가 나서 아무것도 먹을 수 없어요  
2,식중독,설사가 심해서 화장실을 계속 들락날락해요  
3,식중독,열이 나서 몸이 너무 뜨거워요  
4,식중독,신경이 마비된 것처럼 손발이 움직이지 않아요  
5,식중독,근육 경련이 일어나서 다리가 떨려요  
6,식중독,의식이 흐려져서 정신이 오락가락해요  
7,식중독,토를 계속해서 너무 힘들어요  
8,식중독,설사 때문에 배가 너무 아파요  
9,식중독,열이 나서 땀이 비 오듯이 쏟아져요  
10,식중독,손발이 마비돼서 움직이기가 힘들어요  
11,식중독,근육 경련으로 인해 걷기 힘들어요  
12,식중독,의식이 혼미해서 자꾸 정신이 흐려져요  
13,식중독,구토가 멈추질 않아서 힘들어요  
14,식중독,설사가 심해서 탈수 증상이 와요  
15,식중독,열이 높아서 몸이 화끈거려요  
16,식중독,신경이 마비돼서 손발이 저려요  
17,식중독,근육 경련이 나서 잠을 잘 수 없어요  
18,식중독,의식이 이상해서 혼자 있기가 무서워요  
19,식중독,계속 토하니까 너무 지쳐요  
20,식중독,설사 때문에 몸이 너무 약해졌어요  
21,식중독,열이 나서 머리가 아파요  
22,식중독,손발이 마비돼서 제대로 움직일 수가 없어요  
23,식중독,근육 경련 때문에 다리가 아파요  
24,식중독,의식이 혼미해서 집중할 수가 없어요  
25,식중독,구토 때문에 속이 너무 아파요  
26,식중독,설사가 멈추질 않아서 계속 화장실에 있어요  
27,식중독,열이 나서 몸이 너무 힘들어요  
28,식중독,신경이 마비돼서 손가락이 움직이지 않아요  
29,식중독,근육 경련으로 인해 잠을 잘 수가 없어요  
30,식중독,의식이 흐려져서 자꾸 깨어나기가 힘들어요  
31,식중독,계속 구토를 해서 아무것도 못 먹겠어요  
32,식중독,설사로 인해 배가 너무 아파요  
33,식중독,열이 나서 몸이 축 처져요  
34,식중독,손발이 마비돼서 걷기가 힘들어요  
35,식중독,근육 경련 때문에 다리가 아파요  
36,식중독,의식이 혼미해서 정신을 차릴 수가 없어요  
37,식중독,구토 때문에 잠을 잘 수가 없어요  
38,식중독,설사로 인해 화장실을 떠날 수가 없어요  
39,식중독,열이 나서 몸이 너무 뜨거워요  
40,식중독,신경이 마비돼서 손발이 저려요  
41,식중독,근육 경련 때문에 움직이기가 힘들어요  
42,식중독,의식이 흐려져서 일어나기가 힘들어요  
43,식중독,구토가 심해서 아무것도 먹지 못해요  
44,식중독,설사로 인해 배가 너무 아파요  
45,식중독,열이 나서 머리가 뜨거워요  
46,식중독,신경이 마비돼서 손가락이 저려요  
47,식중독,근육 경련 때문에 다리를 움직일 수가 없어요  
48,식중독,의식이 혼미해서 정신을 차릴 수가 없어요  
49,식중독,계속 구토를 해서 너무 힘들어요  
50,식중독,설사 때문에 몸이 너무 지쳤어요  
51,식중독,열이 나서 몸이 화끈거려요  
52,식중독,손발이 마비돼서 움직일 수가 없어요  
53,식중독,근육 경련으로 인해 잠을 잘 수 없어요  
54,식중독,의식이 흐려져서 정신이 오락가락해요  
55,식중독,구토가 멈추질 않아서 힘들어요  
56,식중독,설사 때문에 몸이 너무 약해졌어요  
57,식중독,열이 나서 땀이 비 오듯이 쏟아져요  
58,식중독,신경이 마비돼서 손발이 저려요  
59,식중독,근육 경련 때문에 걷기가 힘들어요  
